,Country,Happiness_Difference,Percentage_deaths,Avarage_Happiness
33,Uzbekistan,-0.19459983100000056,0.006575709021224263,6.166533277
34,Chile,-0.05649988900000036,0.3816970195293429,6.1908332963333335
35,Bahrain,0.41969983300000013,0.10707676322577271,6.507100055666666
36,Lithuania,0.23050012199999959,0.3821624145537294,6.305499959333333
37,Poland,-0.06329980099999943,0.3794657758092745,6.158433267
38,Colombia,-0.3824001730000006,0.3581066670670633,5.985466724333333
39,Cyprus,0.06200007999999979,0.08895433925727268,6.200999973333334
40,Nicaragua,0.027899780000000263,0.005962665562089161,6.091366740000001
41,Romania,0.35329985800000063,0.4184858694162073,6.246900047333334
42,Mauritius,-0.030299763000000368,0.07726705326528355,6.0737665876666656
43,Kazakhstan,0.17610004800000034,0.11602585841006183,6.1479666506666675
44,Estonia,0.31919995900000053,0.20188359500225278,6.183933347
45,Philippines,-0.10200004200000024,0.06237846613765505,5.930000014
46,Hungary,0.08559993400000021,0.5641657373646289,6.026133355333333
47,Thailand,-0.10779980099999964,0.03609026925481266,5.958266600333334
48,Argentina,-0.007699974000000331,0.38916835032944064,5.956899991333334
49,Honduras,0.0688001370000002,0.14125748338551106,5.964733287666665
50,Latvia,0.23000019099999935,0.32723845785916905,6.053999936333334
51,Ecuador,-0.3921999859999996,0.2802461704488904,5.740733328666667
52,Portugal,0.10509988400000037,0.2771270809659553,5.951966705333334
53,Jamaica,-0.03980007200000024,0.10759293398771631,6.016266690666666
54,South Korea,0.06260019299999975,,5.8841332689999994
55,Japan,0.16819998199999997,0.0249721818524443,5.949933339333334
56,Peru,-0.2378001369999998,0.9257746745511306,5.731933379
57,Serbia,0.39979984999999996,0.27468696759560557,6.01140005
58,Bolivia,-0.14749994300000058,0.26581789525238053,5.687833314333333
59,Pakistan,-1.1772997700000003,0.018287642589094683,5.04776659
60,Paraguay,-0.11410004800000006,0.2927993292702589,5.641033349333333
61,Dominican Republic,0.04780007599999969,0.06253742658489603,5.6570666413333335
62,Bosnia and Herzegovina,0.09390007799999989,0.6022893701717409,5.751699974
